id,valor
1,230329
2,236623
3,78611
4,30685
5,190059
6,35194
7,73876
8,156387
9,137869
10,63947
11,99515
12,127013
13,38897
14,173999
15,47112
16,195146
17,222926
18,217399
19,30732
20,177746
21,172849
22,124149
23,64372
24,140386
25,136734
26,168924
27,131570
28,50968
29,27900
30,96658
31,115394
32,90402
33,212246
34,224371
35,182509
36,214791
37,223664
38,180607
39,166172
40,168562
41,128181
42,92777
43,38016
44,243561
45,84855
46,99197
47,161898
48,16472
49,43423
50,145220
51,67893
52,154742
53,220906
54,54819
55,170878
56,163810
57,72749
58,99713
59,65649
60,67169
61,34897
62,51081
63,31028
64,70122
65,81304
66,128692
67,93816
68,48630
69,108500
70,34263
71,190557
72,139645
73,69016
74,35237
75,214735
76,130328
77,169681
78,207080
79,28966
80,131051
81,99034
82,146731
83,27414
84,240919
85,152630
86,186800
87,70909
88,28951
89,211651
90,191214
91,77004
92,153098
93,117700
94,141874
95,184714
96,204082
97,183744
98,211535
99,124039
100,68220
101,194882
102,170720
103,212
104,18324
105,130380
106,199592
107,5117
108,160156
109,162448
110,42936
111,203465
112,257
113,245631
114,59721
115,165816
116,6616
117,57058
118,202906
119,5676
120,132605
121,192212
122,99072
123,108877
124,103855
125,62650
126,187823
127,226574
128,186635
129,149555
130,204152
131,225122
132,156482
133,237373
134,118824
135,72306
136,35082
137,76794
138,201023
139,9419
140,166549
141,37070
142,96055
143,18856
144,164121
145,58396
146,53851
147,133937
148,226987
149,246949
150,6977
151,52251
152,87712
153,37654
154,223509
155,3284
156,53805
157,207071
158,37894
159,169188
160,114476
161,204703
162,42770
163,107090
164,174012
165,140921
166,133936
167,110959
168,118081
169,231829
170,206463
171,165414
172,188250
173,119219
174,123793
175,76013
176,51966
177,87058
178,53786
179,107635
180,37532
181,213243
182,197079
183,181640
184,200652
185,78479
186,128383
187,237974
188,128453
189,126426
190,135382
191,167028
192,194302
193,78464
194,225684
195,134956
196,195673
197,170069
198,158347
199,67072
200,99481
201,29357
202,249728
203,7224
204,110261
205,8603
206,225737
207,76579
208,132372
209,205432
210,214547
211,69105
212,53852
213,244513
214,73764
215,73688
216,128882
217,74667
218,101211
219,63358
220,210953
221,231848
222,90673
223,213568
224,125001
225,75975
226,155039
227,129961
228,180017
229,68464
230,243080
231,23562
232,13403
233,163787
234,151490
235,113081
236,34228
237,135861
238,188101
239,13500
240,236335
241,213538
242,121069
243,192
244,89726
245,40630
246,162781
247,41429
248,158109
249,249154
250,172200
251,176128
252,93283
253,93303
254,87153
255,71602
256,187786
257,26323
258,97189
259,39980
260,128063
261,138411
262,213052
263,15914
264,94392
265,213147
266,30945
267,111661
268,196145
269,107943
270,15579
271,112443
272,126912
273,26727
274,19229
275,191467
276,194550
277,4346
278,61635
279,141537
280,56539
281,90596
282,58935
283,227874
284,210978
285,190476
286,202579
287,81854
288,178582
289,123976
290,199066
291,200689
292,35018
293,111619
294,42735
295,140504
296,237622
297,237048
298,45833
299,61092
300,32452
301,186871
302,138066
303,219519
