id,valor
1,99821
2,19786
3,13559
4,79503
5,91875
6,2445
7,85824
8,20665
9,59729
10,74393
11,36606
12,86484
13,19556
14,96976
15,26704
16,36853
17,4916
18,75439
19,74601
20,88298
21,81857
22,55936
23,38688
24,63536
25,80613
26,83125
27,22734
28,71285
29,55553
30,54146
31,85144
32,28765
33,20479
34,38339
35,61887
36,7009
37,17179
38,18080
39,75283
40,14183
41,41511
42,82966
43,83526
44,59510
45,41607
46,28104
47,36373
48,13183
49,33675
50,68424
51,19679
52,20755
53,61090
54,95318
55,43364
56,331
57,3957
58,41180
59,74308
60,93000
61,32240
62,83939
63,17155
64,85907
65,71254
66,38753
67,61739
68,17552
69,76303
70,40529
71,55392
72,48579
73,63538
74,80626
75,33690
76,64304
77,27913
78,38635
79,25599
80,89456
81,72559
82,68313
83,8974
84,77631
85,55949
86,52982
87,19740
88,71765
89,74197
90,62978
91,94865
92,20051
93,48593
94,38377
95,85016
96,69893
97,41802
98,91070
99,76888
100,63296
101,92120
102,30599
103,79238
104,68324
105,42894
106,56312
107,59012
108,78217
109,21329
110,41082
111,16578
112,20268
113,7517
114,23468
115,17345
116,11005
117,20314
118,90065
119,35741
120,28437
121,43543
122,97472
123,50075
124,27832
125,71152
126,86175
127,1568
128,93832
129,16244
130,74033
131,56888
132,10739
133,66792
134,68278
135,41978
136,9811
137,93418
138,65904
139,17940
140,92975
141,1160
142,43927
143,20045
144,61651
145,52248
146,74274
147,14290
148,52296
149,41197
150,27940
151,33836
152,1317
153,85655
154,73963
155,43106
156,44152
157,80857
158,57967
159,73268
160,3857
161,44147
162,17597
163,36002
164,79521
165,44684
166,30089
167,409
168,69236
169,39575
170,77707
171,1773
172,63795
173,53494
174,41797
175,351
176,71609
177,35340
178,63095
179,57182
180,81202
181,64025
182,99533
183,4940
184,34291
185,45852
186,1079
187,56381
188,87349
189,28178
190,30123
191,11999
192,41112
193,93972
194,13357
195,44986
196,17568
197,84098
198,85947
199,64652
200,47417
201,17082
202,66340
