id,valor
1,53866
2,63677
3,70735
4,63305
5,58320
6,62370
7,43288
8,27785
9,17226
10,69074
11,59709
12,34772
13,65591
14,24533
15,38813
16,16723
17,54803
18,49549
19,74244
20,72053
21,10461
22,8745
23,46595
24,7085
25,20529
26,4579
27,48104
28,11988
29,15401
30,66025
31,14694
32,44325
33,43271
34,25462
35,6470
36,34074
37,13178
38,73666
39,2013
40,43974
41,30898
42,16715
43,58508
44,8839
45,62147
46,40431
47,60717
48,19508
49,46943
50,29797
51,17389
52,20434
53,38176
54,34037
55,73739
56,10857
57,20193
58,54065
59,5788
60,68269
61,50665
62,1458
63,58225
64,15573
65,36509
66,38954
67,9641
68,47452
69,24012
70,7676
71,63244
72,50127
73,70965
74,26192
75,28027
76,16672
77,74039
78,36048
79,11244
80,62141
81,18016
82,50806
83,29091
84,36522
85,7467
86,10231
87,41544
88,56906
89,6567
90,68473
91,9030
92,64234
93,48588
94,63950
95,41491
96,4001
97,74335
98,3535
99,30984
100,57142
101,69421
102,46198
103,70708
104,46842
105,59756
106,68724
107,38015
108,9442
109,12239
110,72660
111,62918
112,11402
113,11004
114,45150
115,35559
116,36290
117,70489
118,54085
119,7973
120,66457
121,65112
122,22043
123,60183
124,41531
125,44811
126,63123
127,35266
128,49310
129,34535
130,58349
131,28790
132,70497
133,55354
134,33235
135,41732
136,15430
137,46891
138,17293
139,33660
140,49496
141,9209
142,10860
143,9102
144,14813
145,31355
146,23096
147,2481
148,11301
149,74263
150,72064
151,40899
152,57180
153,2839
154,26968
155,53610
156,45280
157,47842
158,21483
159,68880
160,52733
161,37305
162,466
163,48462
164,53630
165,59169
166,18127
167,6621
168,68662
169,14488
170,71180
171,53410
172,18381
173,44389
174,38177
175,158
176,50411
177,3599
178,3927
179,22586
180,9024
181,72059
182,54001
183,45295
184,47465
185,41135
186,36994
187,20949
188,805
189,67483
190,33666
191,19134
192,8436
193,34017
194,21153
195,39609
196,8452
197,5584
198,33145
199,57231
200,41717
201,69046
202,61404
203,14398
204,54347
205,28366
206,37201
207,1407
208,11779
209,5768
210,40318
211,44015
212,18155
213,73557
214,36997
215,18844
216,59360
217,29102
218,73449
219,25525
220,11751
221,71337
222,60059
223,3708
224,28737
225,54927
226,45548
227,72975
228,47080
229,59025
230,40529
231,384
232,32680
233,39804
234,28477
235,58009
236,22491
237,60547
238,58767
239,66024
240,74995
241,56418
242,49976
243,26833
244,67345
245,58053
246,21268
247,73445
248,20865
249,15885
250,30882
251,25856
252,3118
253,10375
254,25964
255,12730
256,63058
257,29126
258,67694
259,66485
260,54370
261,19500
262,71355
263,63897
264,66178
265,66619
266,68311
267,50778
268,14247
269,13138
270,26304
271,11850
272,55077
273,70937
274,27476
275,45024
276,46883
277,33304
278,42919
279,34252
280,50131
281,30434
282,49938
283,9472
284,23329
285,45595
286,43616
287,14
288,52879
289,71767
290,70059
291,59186
292,3862
