id,valor
1,118605
2,9099
3,120648
4,84829
5,108835
6,132296
7,148940
8,149103
9,17684
10,6215
11,119534
12,148009
13,103806
14,130363
15,100014
16,51649
17,89169
18,91014
19,85863
20,133463
21,115830
22,38134
23,45901
24,89681
25,116325
26,134258
27,50353
28,74794
29,17865
30,54442
31,23998
32,11906
33,114005
34,96469
35,136234
36,2858
37,129273
38,48280
39,46368
40,87583
41,117276
42,14190
43,42287
44,147227
45,83613
46,116991
47,96284
48,105660
49,35484
50,22089
51,106888
52,97814
53,97413
54,125811
55,126815
56,70808
57,19214
58,81410
59,138682
60,146757
61,1102
62,73345
63,79548
64,86876
65,81705
66,40823
67,102954
68,84437
69,19943
70,31524
71,21216
72,75519
73,57900
74,60095
75,128957
76,126056
77,75894
78,41649
79,133926
80,137775
81,116266
82,46372
83,32562
84,117364
85,11379
86,64141
87,132930
88,141277
89,73306
90,86836
91,30139
92,125450
93,128546
94,27588
95,28478
96,41601
97,10248
98,38236
99,90914
100,48683
101,93659
102,80168
103,105032
104,63027
105,38757
106,23426
107,17961
108,87387
109,1284
110,20471
111,149581
112,125659
113,114014
114,108934
115,100052
116,23373
117,79907
118,3473
119,97436
120,34893
121,34136
122,114830
123,56346
124,52199
125,141727
126,95472
127,125249
128,116799
129,71317
130,54111
131,44112
132,126528
133,109399
134,11020
135,111646
136,19858
137,38061
138,33403
139,77721
140,91664
141,61925
142,42323
143,67918
144,96940
145,142498
146,137464
147,88936
148,47684
149,120081
150,128333
151,96512
152,22434
153,2045
154,123102
155,12086
156,14439
157,46644
158,13545
159,76564
160,144376
161,118662
162,15338
163,28601
164,66081
165,144019
166,81589
167,37632
168,141002
169,147259
170,67277
171,106243
172,51279
173,92678
174,32729
175,136585
176,116099
177,125228
178,83704
179,136279
180,71422
181,145708
182,123515
183,55412
184,123610
185,146107
186,122401
187,141836
188,125663
189,95902
190,118051
191,146013
192,129017
193,134482
194,36424
195,137700
196,57913
197,47316
198,78568
199,41032
200,135382
201,52748
202,92076
203,77487
204,140491
205,30391
206,68923
207,73089
208,35238
209,34482
210,70064
211,32102
212,50599
213,27053
214,46526
215,136649
216,86713
217,35809
218,132765
219,28609
220,108687
221,93358
222,765
223,52570
224,126115
225,35395
226,34171
227,57507
228,86659
229,55669
230,67770
231,15691
232,122519
233,117258
234,38831
235,147213
236,49673
237,73175
238,100125
239,3713
240,92212
241,16671
242,84709
243,13820
244,100254
245,1092
246,4204
247,17503
248,120197
249,116538
250,68607
251,38473
252,94876
253,139631
254,53030
255,135144
256,54246
257,67706
258,134666
259,130604
260,141918
261,108871
262,76573
263,76568
264,40305
265,102651
266,77542
267,52487
268,78368
269,86737
270,72755
271,147843
272,16199
273,48447
274,38395
275,7847
276,139632
277,87996
278,59027
279,70093
280,106278
281,13243
282,30247
283,64394
284,14497
285,113006
286,105616
287,96675
288,21619
289,24990
290,115059
291,35814
292,61402
293,32759
294,2894
295,71477
296,109119
297,12984
298,52054
299,14918
300,128434
301,146792
302,1743
303,90359
304,78567
305,60110
306,32354
307,146111
308,76969
309,114074
310,107374
311,63286
312,56675
313,18735
314,130858
315,128807
316,27899
317,57657
318,76000
319,140027
320,27335
321,35890
322,123181
323,1454
324,20156
325,63875
326,108726
327,83358
328,115539
329,95649
330,125513
331,4193
332,131367
333,26332
334,63916
335,138303
336,95832
337,125516
338,33933
339,32504
340,129854
341,13055
342,141083
343,94300
344,50357
345,54818
346,112209
347,47575
348,23902
349,59814
350,54309
351,44869
352,60869
353,85235
354,20684
355,23224
356,42748
357,25673
358,90244
359,17314
360,28663
361,67831
362,134832
363,20117
364,40177
365,91711
366,16132
367,55148
368,53144
369,75139
370,43158
